age,mortality_rate by gender smoking,,,
,male nonsmoker,male smoker,female nonsmoker,female smoker
0,0.000149,0.000149,0.000147,0.000147
1,0.000149,0.000149,0.000147,0.000147
2,0.000083,0.000083,0.000075,0.000075
3,0.000075,0.000075,0.000066,0.000066
4,0.000066,0.000066,0.000057,0.000057
5,0.000057,0.000057,0.000048,0.000048
6,0.000048,0.000048,0.000039,0.000039
7,0.000039,0.000039,0.000033,0.000033
8,0.000036,0.000036,0.000027,0.000027
9,0.000033,0.000033,0.000024,0.000024
10,0.000033,0.000033,0.000027,0.000027
11,0.000039,0.000039,0.00003,0.00003
12,0.000054,0.000054,0.000039,0.000039
13,0.000075,0.000075,0.000051,0.000051
14,0.000104,0.000104,0.000066,0.000066
15,0.00014,0.00014,0.000084,0.000084
16,0.000179,0.000179,0.000105,0.000105
17,0.000221,0.000221,0.00012,0.00012
18,0.000256,0.000256,0.000134,0.000134
19,0.000286,0.000286,0.000145,0.000145
20,0.000307,0.000307,0.000155,0.000155
21,0.000314,0.000314,0.000162,0.000162
22,0.000322,0.000322,0.000169,0.000169
23,0.000331,0.000331,0.000178,0.000178
24,0.00034,0.00034,0.000187,0.000187
25,0.000351,0.000351,0.000198,0.000198
26,0.000362,0.000362,0.000209,0.000209
27,0.000374,0.000374,0.000222,0.000222
28,0.000387,0.000387,0.000237,0.000237
29,0.000402,0.000402,0.000253,0.000253
30,0.000418,0.000418,0.000271,0.000271
31,0.000435,0.000435,0.00029,0.00029
32,0.000454,0.000454,0.000312,0.000312
33,0.000475,0.000475,0.000337,0.000337
34,0.000498,0.000498,0.000363,0.000363
35,0.000524,0.000524,0.000393,0.000393
36,0.000551,0.000551,0.000426,0.000426
37,0.000582,0.000582,0.000462,0.000462
38,0.000615,0.000615,0.000502,0.000502
39,0.000652,0.000652,0.000547,0.000547
40,0.000701,0.000701,0.000576,0.000576
41,0.00075,0.00075,0.000615,0.000615
42,0.000801,0.000801,0.000662,0.000662
43,0.000854,0.000854,0.000718,0.000718
44,0.000911,0.000911,0.000783,0.000783
45,0.000973,0.000973,0.000858,0.000858
46,0.001041,0.001041,0.000944,0.000944
47,0.001117,0.001117,0.001041,0.001041
48,0.001203,0.001203,0.001149,0.001149
49,0.001301,0.001301,0.001269,0.001269
50,0.001419,0.001419,0.001405,0.001405
51,0.001555,0.001555,0.001553,0.001553
52,0.001712,0.001712,0.001711,0.001711
53,0.001893,0.001893,0.001881,0.001881
54,0.002102,0.002102,0.002064,0.002064
55,0.002341,0.002341,0.002261,0.002261
56,0.002618,0.002618,0.002473,0.002473
57,0.002936,0.002936,0.002701,0.002701
58,0.003303,0.003303,0.002947,0.002947
59,0.003725,0.003725,0.003213,0.003213
60,0.004211,0.004211,0.0035,0.0035
61,0.004771,0.004771,0.003812,0.003812
62,0.005415,0.005415,0.004152,0.004152
63,0.006155,0.006155,0.004522,0.004522
64,0.007006,0.007006,0.004928,0.004928
65,0.007981,0.007981,0.005373,0.005373
66,0.0091,0.0091,0.005863,0.005863
67,0.01038,0.01038,0.006404,0.006404
68,0.011842,0.011842,0.007006,0.007006
69,0.01351,0.01351,0.007675,0.007675
70,0.015406,0.015406,0.008424,0.008424
71,0.017558,0.017558,0.009265,0.009265
72,0.019992,0.019992,0.010213,0.010213
73,0.022737,0.022737,0.011287,0.011287
74,0.025822,0.025822,0.012508,0.012508
75,0.029275,0.029275,0.013903,0.013903
76,0.033124,0.033124,0.015504,0.015504
77,0.037395,0.037395,0.01735,0.01735
78,0.042109,0.042109,0.019487,0.019487
79,0.047285,0.047285,0.021975,0.021975
80,0.052934,0.052934,0.024885,0.024885
81,0.05906,0.05906,0.028305,0.028305
82,0.065656,0.065656,0.032347,0.032347
83,0.072706,0.072706,0.037147,0.037147
84,0.080179,0.080179,0.042881,0.042881
85,0.088028,0.088028,0.049768,0.049768
86,0.097957,0.097957,0.056543,0.056543
87,0.108379,0.108379,0.064219,0.064219
88,0.118999,0.118999,0.07286,0.07286
89,0.129546,0.129546,0.082514,0.082514
90,0.139759,0.139759,0.093074,0.093074
91,0.149461,0.149461,0.104425,0.104425
92,0.160391,0.160391,0.116447,0.116447
93,0.171627,0.171627,0.129018,0.129018
94,0.183011,0.183011,0.14204,0.14204
95,0.194845,0.194845,0.155772,0.155772
96,0.207031,0.207031,0.170184,0.170184
97,0.219495,0.219495,0.185209,0.185209
98,0.232116,0.232116,0.200782,0.200782
99,0.244794,0.244794,0.216825,0.216825
100,0.257404,0.257404,0.233241,0.233241
101,0.257404,0.257404,0.233241,0.233241
102,0.257404,0.257404,0.233241,0.233241
103,0.257404,0.257404,0.233241,0.233241
104,1,1,1,1
105,1,1,1,1
106,1,1,1,1
107,1,1,1,1
108,1,1,1,1
109,1,1,1,1
110,1,1,1,1